,Tweets,id,len,date,source,likes,retweets
14,"This week in the Edenwald Houses, ten bikes / ATVs were seized for reckless driving, unregistered or uninsured. ATVs and Dirt bikes are illegal on all streets and sidewalks in New York City. https://t.co/7iXTb75APz",1517609262050119680,214,2022-04-22 21:00:18+00:00,Hootsuite Inc.,153,30
15,Happy Earth Day! @NYCParks has space throughout every borough for all New Yorkers to get outside and enjoy. https://t.co/uaBVwjyOGv,1517594152611024901,131,2022-04-22 20:00:16+00:00,Hootsuite Inc.,30,10
16,"After a Tuesday afternoon shootout on Linden Blvd in Queens, detectives from the @NYPD113Pct  immediately went to work on the case. Today, an 18-year-old was arrested and charged for that shooting, and this cache of guns and armored vests were recovered. https://t.co/6xivn7QEZP",1517576270363639811,278,2022-04-22 18:49:12+00:00,Twitter Web App,90,16
17,"The warmer weather typically brings out the dirt bikes and ATVs across NYC. Just remember, they are illegal on all New York City roadways and sidewalks. https://t.co/YiRGIRwXG9",1517549096281772032,176,2022-04-22 17:01:13+00:00,Hootsuite Inc.,151,39
18,"BROOKLYN: Plan ahead for street closures and detours this Sunday 4/24 for the Brooklyn Marathon. 

For more information visit https://t.co/mure3ZG2Tv https://t.co/d9ZciJPHVh",1517530839814451202,173,2022-04-22 15:48:41+00:00,Twitter Web App,18,16
19,"🚨WANTED for a FORCIBLE TOUCHING: Do you know him? On 4/21/22 at 11:47 AM, inside the New Utrecht subway station, the suspect proceeded to touch a 17-year-old female's thighs before fleeing.  Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/p62X9MPXty",1517503726331772928,277,2022-04-22 14:00:56+00:00,Hootsuite Inc.,45,55
20,"Cash for Guns with @QueensDAKatz 
 
NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/Q45ct435Ly",1517480870680088579,274,2022-04-22 12:30:07+00:00,Hootsuite Inc.,39,16
21,Who let the dogs out? https://t.co/r7y0FysHjq,1517458499009196033,45,2022-04-22 11:01:13+00:00,Hootsuite Inc.,525,45
22,"🚨WANTED for a SEX ABUSE: Recognize him? On 4/21/22 at 7 AM, inside the Cortlandt St subway station, the suspect rubbed a 22-year-old woman's thigh, exposed his penis &amp; masturbated. Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS https://t.co/zz3pnNCDPD",1517311323918512128,270,2022-04-22 01:16:24+00:00,Twitter Web App,58,73
23,"Are you in college and thinking about a career in law enforcement? Become an NYPD Cadet.
✅Competitive pay
✅Flexible Schedule
✅Tuition reimbursement 

Register for the next orientation class tomorrow at https://t.co/iVF1D88gei https://t.co/NaGCExhpwO",1517284547368419328,249,2022-04-21 23:30:00+00:00,Twitter Web App,28,12
24,"NYC is undoubtedly safer thanks to our @NYPDDetectives from the Major Case Field Intelligence Team. While conducting a search warrant, detectives recovered a cache of firearm lower receivers, high capacity magazines, ammo, a rapid-fire device, &amp; a completed ghost gun. https://t.co/bcSxgbD17B",1517261938346139654,296,2022-04-21 22:00:10+00:00,Hootsuite Inc.,187,20
25,"Newly appointed honorary NYPD Officer DJ was sworn in yesterday and took a trip around NYC to check out the specialized units within the department. 

Watch more as @KatieLusso reports on DJ's special visit. https://t.co/uD9JzSMC3p",1517231949848498178,231,2022-04-21 20:01:00+00:00,Twitter Media Studio,84,25
26,"RT @NYPD23Pct: Just out of jail &amp; loaded with meth, a man went on a rampage thru the #UES &amp; #EastHarlem, serially attacking 5 people with a…",1517211132515205121,148,2022-04-21 18:38:17+00:00,Twitter Web App,0,15
27,"Below is the knife recovered at the scene, believed to be the weapon used during the crime. https://t.co/I1fgJWLGcV",1517180002747494408,115,2022-04-21 16:34:35+00:00,Twitter for iPhone,22,6
28,Watch as @NYPDDetectives Chief James Essig provides an update in an arrest regarding the death of Orsolya Gaal. https://t.co/FvK8g6lJda,1517163794933313536,135,2022-04-21 15:30:10+00:00,Periscope,65,54
29,#HappeningSoon: @NYPDDetectives will provide an update to an ongoing investigation. https://t.co/kE1zzs4YIU,1517159624444633088,107,2022-04-21 15:13:36+00:00,Twitter for iPhone,18,7
30,"RT @NYPDSpecialops: Early this morning, @NYPDSpecialops rescued a male from a sinking boat in the v/o New Rochelle. Rescue swimmers were sa…",1517141174183636994,140,2022-04-21 14:00:17+00:00,Twitter Web App,0,44
31,RT @NYPDPC: .@NYPDDetectives have arrested a 44-year-old man from Queens in regard to the death of Orsolya Gaal. He has been charged with m…,1517123397372854273,140,2022-04-21 12:49:39+00:00,Twitter Web App,0,45
32,"🚨WANTED for RECKLESS ENDANGERMENT: Do you know these guys? On 4/17/22 at approx. 4:26 PM, in front of 411 Beach 54 St in Queens, one suspect fired multiple shots at a group of individuals, then handed the gun to a second suspect. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/Lat78EgmNU",1517115873282207747,299,2022-04-21 12:19:45+00:00,Twitter Web App,56,37
33,"🚨WANTED for a HOMICIDE: Have  you seen them? On 4/16/22 at 9:53 PM, in front of 117-09 Guys R. Brewer Blvd in Queens, the suspects approached a group of males and fired 15 gunshots that killed a 48-year-old man. Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/lTpWkZTfJl",1516948582250778628,298,2022-04-21 01:15:00+00:00,Twitter Web App,69,67
34,RT @127Penn: Our Adopt-A-Cop initiative w/ PO Kinslow. He worked with our mentors &amp; showed them the basic fundamentals of cars &amp; discussed…,1516922948619231232,147,2022-04-20 23:33:08+00:00,Twitter Web App,0,11
35,"Today, @NYCMayor &amp; @NYPDPC were joined by law enforcement officials in honoring the officers and civilians for their efforts after the subway shooting last week. Thanks to the collaborative work of these officers &amp; the assistance of the public, the suspect was arrested &amp; charged. https://t.co/FqLwxjQUaA",1516907077926535170,316,2022-04-20 22:30:04+00:00,Hootsuite Inc.,83,13
36,"Cash for Guns with @QueensDAKatz
 
NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/7SMLVMp5el",1516884530757517314,273,2022-04-20 21:00:29+00:00,Twitter Web App,24,15
37,Join @NYCMayor and @NYPDPC as they honor police officers and civilians for their efforts after the subway shooting last week. https://t.co/ObL8djDabl,1516863640141328385,149,2022-04-20 19:37:28+00:00,Periscope,89,20
38,"Not only is that feat special, but DJ is also doing this all while being diagnosed with terminal cancer. 

Thank you DJ for lifting us up today with your positivity, and know that the NYPD stands with you in your fight. https://t.co/n9vjpOaGUe",1516837440060809221,243,2022-04-20 17:53:21+00:00,Twitter Web App,101,13
39,"Today, we were honored to welcome 10-year-old DJ and his father to Police Headquarters to be sworn in by @NYPDPC as a part of his goal to take the oath for 100 police departments in 6 months. We are proud to say he easily met his goal, as we are number 387! https://t.co/30aLdJe0w4",1516837081393336324,281,2022-04-20 17:51:56+00:00,Twitter Media Studio,443,71
40,"While on his way home,  @NYPDDetectives Sgt. Schoefer recognized a man known for targeting seniors on the Upper West Side. With the help of the Commanding Officer of  @NYPD20Pct, Captain Zuber, the two apprehended the male after he tried to steal from another victim. https://t.co/CmjErZvala",1516816686057410566,291,2022-04-20 16:30:53+00:00,Twitter for iPhone,151,27
41,"Check out our Instagram stories as our Auxiliary officers answer your questions on this #VolunteerRecognitionDay.

👀👇
https://t.co/60EOmYeGuo https://t.co/zYxDkO4uyV",1516791503296860177,165,2022-04-20 14:50:49+00:00,Twitter Web App,26,4
42,"The newest members of the NYPD recently graduated from the academy and are gearing up for their new roles in neighborhoods throughout NYC. These officers will be on your block, in your train station, and answering your calls for help, so be sure to say hello. https://t.co/szY34KfW6Q",1516777043039600647,283,2022-04-20 13:53:22+00:00,Twitter Web App,122,14
43,"Last night, Neighborhood Safety Officers from @NYPDPSA7 were on patrol in the Bronx when they stopped an individual carrying this loaded ghost gun. The suspect, a 15-year-old male, was quickly placed under arrest, helping to keep the community safe from gun violence. https://t.co/TsyJGmtaVC",1516766895562760194,291,2022-04-20 13:13:02+00:00,Twitter Web App,241,33
44,"🚨WANTED for ATTEMPTED ASSAULT: Know these guys? On 4/19/22 at approx. 12:30 PM, in front of 194-05 Linden Blvd in Queens, the suspects exchanged gunfire. One male fled in a silver Honda, the other fled in a black Acura. Any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/CXQNiWaeie",1516748710771892226,301,2022-04-20 12:00:47+00:00,Twitter Web App,130,86
45,RT @NYPDPC: Isaiah Metz has been apprehended and charged with assaulting two police officers. He will also be brought to justice in Pennsyl…,1516741332118786055,140,2022-04-20 11:31:27+00:00,Twitter Web App,0,34
46,"🚨WANTED for a BURGLARY: Recognize him? On 4/17/22 at 11:30 PM, in the vicinity of Fresh Pond Rd &amp; 71st Ave in Queens, the suspect used a USPS key to open the mailboxes &amp; remove contents before fleeing in a gray SUV. Have any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/bKj1G7uXFN",1516590485690716162,298,2022-04-20 01:32:03+00:00,Twitter Web App,34,32
47,"RT @NYPDPC: What an honor to drop the puck at @TheGarden! 

The “big thank you” goes to the @NYRangers though for their unwavering support…",1516579677401489410,139,2022-04-20 00:49:06+00:00,Twitter Web App,0,48
48,UPDATE: The individual below has been arrested and charged for this crime. https://t.co/xNjFIyfArI,1516571844224200708,98,2022-04-20 00:17:58+00:00,Twitter Web App,178,51
49,"When Officers Reisert &amp; Brown from the @NYPD42Pct responded to a 911 call of an unresponsive man who overdosed, they knew they needed to act fast. Equipped with naloxone, they administered 2 dosages to the person &amp; were able to save his life by successfully reviving him. https://t.co/ET5J0SvMRz",1516544682687348738,303,2022-04-19 22:30:03+00:00,Hootsuite Inc.,167,27
50,"RT @NYPDChiefPatrol: Last week, these officers celebrated their graduation from the Police Academy. Now they have begun working in precinct…",1516532854519439363,140,2022-04-19 21:43:02+00:00,Twitter Web App,0,17
51,"Are you in college and thinking about a career in law enforcement? Become an NYPD Cadet.
✅Competitive pay
✅Flexible Schedule
✅Tuition reimbursement 

Register for the next orientation class, April 22, at https://t.co/iVF1D8pRCS https://t.co/VqKo3JMeBy",1516507660434161670,251,2022-04-19 20:02:56+00:00,Twitter Web App,31,16
52,"NYC: Do you know where Isaiah Metz, AKA Decklyn McBride, is? This morning, inside a shelter at 257 West 30 St in Manhattan, he assaulted 2 Regional Fugitive Task Force Officers attempting to take a male into custody for outstanding warrants. Have info? Call @NYPDTips 800577TIPS https://t.co/OHV0oaK3CD",1516455900567027715,302,2022-04-19 16:37:15+00:00,Twitter Web App,100,80
53,RT @NYPD104Pct: Don’t count your 🐥🐓 before they hatch! Lieutenant Hellmer and your 104 NCO’s held a joint operation with @ASPCA and @NYCACC…,1516435207938879499,140,2022-04-19 15:15:02+00:00,Twitter Web App,0,22
54,UPDATE: All lanes have been reopened. https://t.co/aOCVoKCV9q https://t.co/8T5HoGWnCj,1516409359298932740,85,2022-04-19 13:32:19+00:00,Twitter Web App,15,4
55,"🚨WANTED for ASSAULT: Do you know this guy? On 4/16/22 at approx 3:28 PM, on a BX12 bus in the vicinity of Bartow Ave and Edson Ave in the Bronx, the suspect spat at a 79-year-old male, then punched him in the face. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/A4ucHL9SUZ",1516401352976609286,284,2022-04-19 13:00:30+00:00,Hootsuite Inc.,41,41
56,ADVISORY: The southbound lanes of the Major Deegan Expressway are closed due to flooding at Depot Place. Please use an alternate route. https://t.co/5kq5fP69bv,1516381677697785861,159,2022-04-19 11:42:19+00:00,Twitter Web App,20,7
57,"🚨WANTED for CRIMINAL MISCHIEF: Do you know this guy? On 4/10/22 at approx 10:03 AM, on Fort Hamilton Parkway between 62 St and 65 St, the suspect used a long metal object to damage 6 unoccupied vehicles. Any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/szOGtSfqQj",1516205046811222022,285,2022-04-19 00:00:27+00:00,Hootsuite Inc.,48,59
58,"On Tuesday, officers from. @NYPDCentralPark were alerted to a woman that got into the reservoir and couldn't stay afloat. Without hesitation, Officer Healy swam out into the frigid water to rescue her.

Watch the full interview ⬇️ https://t.co/U81REJtjv9",1516188726057123850,254,2022-04-18 22:55:36+00:00,Twitter Media Studio,113,28
59,"Last night, officers from the @NYPD60Pct stopped a male to correct a quality of life violation they observed. During their stop, they discovered the male possessed this loaded firearm, safely recovered it &amp; placed him under arrest, helping to keep the community safe. https://t.co/NdKqjV14Y6",1516151732170072066,295,2022-04-18 20:28:36+00:00,Twitter Web App,138,12
60,RT @NYPDPC: Detective Robert Cardona was by every measure courageous — while he battled a serious 9/11-related illness and then during the…,1516127466816950273,139,2022-04-18 18:52:11+00:00,Twitter for iPhone,0,15
61,RT @NYPD67Pct: Your Officers were working around the ⏰ to protect East Flatbush families during the Easter holiday weekend. After a brief f…,1516070129645367300,140,2022-04-18 15:04:20+00:00,Twitter Web App,0,24
62,"Cash for Guns with @QueensDAKatz 

NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/TgJYirho46",1516053986423496704,273,2022-04-18 14:00:11+00:00,Hootsuite Inc.,36,22
63,"RT @NYPD67Pct: Excellent joint effort by your Neighborhood Safety Team, Public Safety Team, &amp; Patrol! They arrested an individual drinking…",1516039143809236997,143,2022-04-18 13:01:13+00:00,Twitter Web App,0,18
64,"🚨WANTED for RECKLESS ENDANGERMENT: Do you know this guy? On 4/13/22 at approx 4:10 AM, in the vicinity of 115 Ave and 221 St in Queens, the suspect discharged a handgun toward a house causing damage. Any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/fU4gV7Eghn",1516023779343966212,281,2022-04-18 12:00:10+00:00,Hootsuite Inc.,111,92
65,"🚨WANTED for ASSAULT: Do you know this guy? On 4/15/22 at approx 12:15 AM, in the vicinity of 44 St and 9 Ave in Manhattan, the suspect approached a 24-year-old male, displayed a sharp object and stabbed him in the torso. Any info? DM @NYPDTips or call 800-577-TIPS. https://t.co/pk1EsFOlil",1515812417900535811,289,2022-04-17 22:00:17+00:00,Hootsuite Inc.,85,78
66,"RT @NYPD104Pct: If your thinking about riding a dirt bike or ATV on NYC streets, THINK AGAIN! Our Officers are out keeping neighborhoods sa…",1515752050080026634,140,2022-04-17 18:00:24+00:00,Twitter Web App,0,27
67,"""The subways have to be safe, and they will be safe,"" said @NYPDPC, as she joined @NYCMayor to speak with @GStephanopoulos about fighting crime on @ThisWeekABC. https://t.co/evro9l4rLQ",1515709626951548929,184,2022-04-17 15:11:50+00:00,Twitter Media Studio,96,31
68,"To all those who are celebrating today, in NYC and around the world, we wish you a safe and #HappyEaster. https://t.co/FyyGZX0Wjb",1515691638110277643,129,2022-04-17 14:00:21+00:00,Hootsuite Inc.,156,32
69,"What are you doing tonight? Did you know Saturday Night Lights is back? There are locations in every borough where kids can enjoy their night.

For a list of locations by borough:
https://t.co/SENw7v9E4F https://t.co/80KD6jTIBi",1515419775693991950,227,2022-04-16 20:00:04+00:00,Hootsuite Inc.,36,12
70,"Anna Sorokin, aka Anna Delvey, came to NYC in 2014 &amp; quickly became a fixture in the downtown social scene. In 2017, she was indicted on an array of financial &amp; fraud-based crimes. Listen as the NYPD detective who led the investigation explains her crimes.
https://t.co/YY2yOoXkwu https://t.co/sDrModaITU",1515391824390594563,312,2022-04-16 18:09:00+00:00,Twitter Web App,61,19
71,RT @NYPD7Pct: At 3:14AM we received a 911 call for shots fired at Delancey&amp;Ludlow.Responding Officers did a phenomenal job quickly gatherin…,1515387727298154503,144,2022-04-16 17:52:43+00:00,Twitter Web App,0,22
72,"This week, officers from @NYPDPSA1 and @NYPD60pct teamed up to conduct an operation to remove unregistered and uninsured motorcycles/mopeds from the Marlboro Houses in Brooklyn. https://t.co/Q75T9vSBED",1515367949208539137,201,2022-04-16 16:34:07+00:00,Twitter Web App,88,14
73,"RT @ThisWeekABC: EXCLUSIVE: Following the Brooklyn subway shooting, @NYCMayor and @NYPDPC join @GStephanopoulos to discuss developments in…",1515129293285867521,139,2022-04-16 00:45:47+00:00,Twitter for iPhone,0,18
74,"🚨WANTED for CRIMINAL MISCHIEF: Know him? On 4/6/22 at approx. 11:05 AM, at a children's day care located at 2734 Victory Blvd on Staten Island, the suspect intentionally broke two windows before fleeing eastbound on Victory Blvd. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/nctwCLfYUL",1515117811139547140,299,2022-04-16 00:00:10+00:00,Hootsuite Inc.,44,45
75,"RT @NYPDFIRSTDEP: On #OpeningDay at @CitiField, the @Mets honored our @NYPD32Pct fallen heroes, Detectives Rivera and Mora, by welcoming th…",1515100967095746560,140,2022-04-15 22:53:14+00:00,Twitter for iPhone,0,39
76,"This evening mark's the beginning of Passover - a time for hope and rebirth. To all those celebrating tonight, Chag Sameach! https://t.co/DDIlVcsRtW",1515091417785380869,148,2022-04-15 22:15:17+00:00,Hootsuite Inc.,66,21
77,RT @NYPDPC: The roar of the crowd as Dominique Rivera and Amalia Mora walked onto the pitcher’s mound exemplifies the support for NY’s Fine…,1515083741269479428,140,2022-04-15 21:44:47+00:00,Twitter Web App,0,159
78,"Planning on driving around the New York City this weekend?

Stay one step ahead of the traffic by checking out our weekend traffic advisory.

https://t.co/ftREHCATx9 https://t.co/fr7BOkqSAV",1515076398511276038,189,2022-04-15 21:15:36+00:00,Twitter Web App,59,12
79,"RT @NYPD9Pct: Precision, awareness, courage; some of the attributes exhibited by Officer Murphy and Officer Texeira of your public safety t…",1515027492276428806,140,2022-04-15 18:01:16+00:00,Twitter Web App,0,14
80,"RT @NYPDPC: The relentless work of @NYPDDetectives has led to the arrest of a 17-year-old male, who has been charged with assault as a hate…",1515007283540942858,140,2022-04-15 16:40:58+00:00,Twitter Web App,0,22
81,"Today starts the 2022 @NYAutoShow at the @javitscenter. If you're in attendance, you may see our newest electric vehicle as we move to a greener fleet, the @Ford Mustang Mach-E.

Stop by and say hello! https://t.co/iDClnRYcvs",1514980924160684032,225,2022-04-15 14:56:13+00:00,Twitter for Android,255,59
82,"On Tuesday afternoon, Officer Healy &amp; Sergeant Debellis from @NYPDCentralPark observed a woman in distress in the Central Park Reservoir. They quickly jumped into action and helped get her to safety. 

Watch the body-worn camera footage of this heroic water rescue. https://t.co/BZKJrkRIK5",1514966958348898304,293,2022-04-15 14:00:44+00:00,Hootsuite Inc.,418,70
83,"RT @NYPD23Pct: You saw something, you said something. Officers Parker and Bergmann took care of the rest. This loaded gun and the young man…",1514951828001234947,140,2022-04-15 13:00:36+00:00,Twitter Web App,0,24
84,"🚨WANTED for RECKLESS ENDANGERMENT: 
On 4/7/22 at 10:05 PM, at 64 Sherif S Byrd Place in the Bronx, the suspect produced a handgun, fired one round, and then fled on foot. Have any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/y8DTon6mWk",1514936623951142915,245,2022-04-15 12:00:11+00:00,Hootsuite Inc.,44,40
85,"🚨WANTED for SEX ABUSE: On 3/31/22 at 2:10 AM, in front of 9511 Church Ave in Bklyn, the suspect slapped a 59-year-old woman's face, knocked her to the ground &amp; proceeded to sexual abuse her before fleeing. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/AKQEy5qXqu",1514774659157291015,279,2022-04-15 01:16:36+00:00,Twitter Web App,63,68
86,"In partnership with @nycpolicefdtn, @lajaraband &amp; @NYPDCommAffairs, the youth experienced a fun-filled event last week with workshops &amp; live salsa music. Officers &amp; students had an opportunity to build existing relationships &amp; forged new ones through the power of music. https://t.co/ZlN7lCk8xE",1514747832795746306,310,2022-04-14 23:30:00+00:00,Twitter Web App,59,12
87,"Recently there have been questions regarding the operability of some cameras located inside the train station in Brooklyn, where Tuesday's shooting occurred. We want to share the following information. https://t.co/IGnl2pE3Se",1514730738121420801,225,2022-04-14 22:22:04+00:00,Twitter Web App,139,57
88,"Today marks 50 years since the shooting that took Patrolman Philip Cardillo's life. With another generation of @NYPD28Pct officers walking the same beat that he once did, they carry with them his story - a living memory of his heroism &amp; service to our city. We vow to #NeverForget https://t.co/WPongkvSzr",1514719021832232967,308,2022-04-14 21:35:31+00:00,Hootsuite Inc.,59,8
89,"For the last 6 weeks, NYers have taken part in a community training program to gain a deeper understanding of NYPD policies &amp; activities. They marked the end of their training last night at One Police Plaza.
 
If you're interested in how to apply, visit:
https://t.co/yNvZHny1OQ https://t.co/3tAwM0ZQR0",1514680259773353999,306,2022-04-14 19:01:29+00:00,Twitter for iPhone,22,3
90,"Welcome to the NYPD.

800 new recruits swore an oath today to protect this city, it’s residents and it’s visitors. Over the next 6 months they will undergo intense training to prepare them to honor that pledge. https://t.co/B8XsSrdAvO https://t.co/AkGmVJGpsK",1514648681118580736,258,2022-04-14 16:56:01+00:00,Twitter for iPhone,109,22
91,"RT @NYPDTraining: “I could’ve been on the road to Rikers Island but instead I’m on the road to College”
Listen to 18 year old Gabriel Jarvi…",1514619542978404352,140,2022-04-14 15:00:13+00:00,Twitter Web App,0,69
92,"@TaniaMenai @NYPD104Pct If observed, you can call 911 or your local precinct. To find your local precinct, follow this link: https://t.co/NfA6iEQoe7",1514619029754839043,148,2022-04-14 14:58:11+00:00,Twitter Web App,5,0
93,"Yesterday morning, officers from the @NYPD104Pct observed multiple individuals driving these scooters recklessly on Metropolitan Ave in Queens and conducted a stop. On top of confiscating the scooters, officers discovered that one was stolen and placed the operator under arrest. https://t.co/6H6sxdOtSM",1514606257356738567,303,2022-04-14 14:07:26+00:00,Twitter Web App,184,28
94,"RT @NYPDPSA3: Another illegal firearm was taken off the streets of Brooklyn from our Special Operations Lieutenant, Neighborhood Coordinati…",1514591967669334021,140,2022-04-14 13:10:39+00:00,Twitter Web App,0,16
95,"Here is a closer look at the suspects. Again, if you have any information, please DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/veW0o12hGj",1514574718002765826,153,2022-04-14 12:02:06+00:00,Twitter Web App,22,23
96,"🚨WANTED for ASSAULT: Do you know these guys? On 4/12/22 at approx. 4:20 PM, in front of 471 Gates Ave in Brooklyn, the suspects discharged firearms multiple times striking three males before fleeing southbound on Nostrand Ave. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/hsAX2uwBFa",1514574713636462592,296,2022-04-14 12:02:05+00:00,Twitter Web App,53,48
97,"🚨WANTED for a ROBBERY: Have you seen them? On 4/3/22 at 2 PM, inside of 124 W. Fordham Rd, four individuals approached a 16-year-old male &amp; forcibly removed $80 from his wallet at knifepoint. Have any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/d9fgg2M7h2",1514408162593497089,270,2022-04-14 01:00:16+00:00,Hootsuite Inc.,155,134
98,"After months of rigorous academics, physical training &amp; tactics, 608 officers graduated from the Police Academy &amp; are ready to hit the streets. Behind their uniform are individuals who answered the call to service &amp; are committed to making this city a safer place. https://t.co/1Jin3TiJuJ",1514372877310701572,300,2022-04-13 22:40:04+00:00,Hootsuite Inc.,157,29
99,"Thanks to the outpouring of tips by the public &amp; the tireless work of NY's Finest &amp; our law enforcement partners, Frank Robert James was taken into custody. The investigative work continues. If you were on the N train during yesterday's shooting, call @NYPDTips at 800-577-TIPS. https://t.co/KnosU99kxl",1514330424767655941,310,2022-04-13 19:51:22+00:00,Twitter Web App,395,121
100,RT @NYPDPC: Frank Robert James had nowhere else to run or hide — and is now in NYPD custody. The work of our detectives is second to none a…,1514310582073184264,140,2022-04-13 18:32:31+00:00,Twitter for iPhone,0,718
101,Watch as @nycmayor and NYPD Executives provide an update on yesterday’s shooting incident in Brooklyn. https://t.co/x1QIRLVuXt,1514309864968781826,126,2022-04-13 18:29:40+00:00,Periscope,252,209
